"Gene_Id","padj","logFC","status","source_file"
"207067_s_at",0.00556,-2.5066087,"Downregulated","DEGs_Data_2.csv"
"226742_at",0.00556,-0.9509601,"Not_Significant","DEGs_Data_2.csv"
"202701_at",0.00556,1.1617188,"Upregulated","DEGs_Data_2.csv"
"221020_s_at",0.00556,0.7103941,"Not_Significant","DEGs_Data_2.csv"
"201430_s_at",0.00556,1.9677092,"Upregulated","DEGs_Data_2.csv"
"228577_x_at",0.00556,0.9779789,"Not_Significant","DEGs_Data_2.csv"
"1564074_at",0.00556,-2.2923642,"Downregulated","DEGs_Data_2.csv"
"225285_at",0.00556,1.8231102,"Upregulated","DEGs_Data_2.csv"
"230100_x_at",0.005574,-1.02804,"Downregulated","DEGs_Data_2.csv"
"205462_s_at",0.005586,-1.2940895,"Downregulated","DEGs_Data_2.csv"
"205856_at",0.005604,-1.6154127,"Downregulated","DEGs_Data_2.csv"
"230788_at",0.005604,-1.8891956,"Downregulated","DEGs_Data_2.csv"
"1555173_at",0.005604,-2.0997682,"Downregulated","DEGs_Data_2.csv"
"1566486_at",0.005604,-2.379805,"Downregulated","DEGs_Data_2.csv"
"229239_x_at",0.005604,-1.577898,"Downregulated","DEGs_Data_2.csv"
"209191_at",0.005604,1.4284034,"Upregulated","DEGs_Data_2.csv"
"202731_at",0.005604,-1.3763139,"Downregulated","DEGs_Data_2.csv"
"233340_at",0.005604,-2.4644049,"Downregulated","DEGs_Data_2.csv"
"240294_at",0.005604,-1.5864256,"Downregulated","DEGs_Data_2.csv"
"225639_at",0.005685,1.4295438,"Upregulated","DEGs_Data_2.csv"
"226770_at",0.005685,-1.3088343,"Downregulated","DEGs_Data_2.csv"
"221781_s_at",0.005685,0.8480787,"Not_Significant","DEGs_Data_2.csv"
"202311_s_at",0.005685,3.0111652,"Upregulated","DEGs_Data_2.csv"
"209646_x_at",0.005685,1.4455596,"Upregulated","DEGs_Data_2.csv"
"204879_at",0.005685,1.3339107,"Upregulated","DEGs_Data_2.csv"
"205524_s_at",0.005685,-2.282848,"Downregulated","DEGs_Data_2.csv"
"215258_at",0.005685,-1.785489,"Downregulated","DEGs_Data_2.csv"
"219076_s_at",0.00573,-1.5090306,"Downregulated","DEGs_Data_2.csv"
"230907_at",0.00573,-1.549382,"Downregulated","DEGs_Data_2.csv"
"205623_at",0.005731,-3.9199847,"Downregulated","DEGs_Data_2.csv"
"226302_at",0.005739,-1.3615138,"Downregulated","DEGs_Data_2.csv"
"1555705_a_at",0.005757,1.2987455,"Upregulated","DEGs_Data_2.csv"
"210495_x_at",0.005784,2.1263202,"Upregulated","DEGs_Data_2.csv"
"211117_x_at",0.005784,-2.7118397,"Downregulated","DEGs_Data_2.csv"
"217014_s_at",0.005784,-1.382934,"Downregulated","DEGs_Data_2.csv"
"209360_s_at",0.005784,1.0638659,"Upregulated","DEGs_Data_2.csv"
"244545_at",0.005784,-1.1287028,"Downregulated","DEGs_Data_2.csv"
"1553796_at",0.005789,-1.9368233,"Downregulated","DEGs_Data_2.csv"
"224707_at",0.0058,-1.9453827,"Downregulated","DEGs_Data_2.csv"
"217906_at",0.0058,-0.7648177,"Not_Significant","DEGs_Data_2.csv"
"243858_at",0.0058,-1.7843449,"Downregulated","DEGs_Data_2.csv"
"1561653_at",0.005808,-3.0190239,"Downregulated","DEGs_Data_2.csv"
"207714_s_at",0.005823,2.3429657,"Upregulated","DEGs_Data_2.csv"
"202752_x_at",0.005823,-1.4289315,"Downregulated","DEGs_Data_2.csv"
"226930_at",0.005823,4.216381,"Upregulated","DEGs_Data_2.csv"
"200788_s_at",0.005823,0.961811,"Not_Significant","DEGs_Data_2.csv"
"1559023_a_at",0.005823,-0.8204058,"Not_Significant","DEGs_Data_2.csv"
"228299_at",0.005823,0.8533857,"Not_Significant","DEGs_Data_2.csv"
"239006_at",0.005823,-3.6098369,"Downregulated","DEGs_Data_2.csv"
"231069_at",0.005823,-1.1302053,"Downregulated","DEGs_Data_2.csv"
"202403_s_at",0.005823,1.4765649,"Upregulated","DEGs_Data_2.csv"
"216594_x_at",0.005853,-3.1593833,"Downregulated","DEGs_Data_2.csv"
"1560692_at",0.005853,-2.1340189,"Downregulated","DEGs_Data_2.csv"
"243039_at",0.005904,-1.3381192,"Downregulated","DEGs_Data_2.csv"
